IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.27.192.15,207,232,213,0
104.20.176.191,203,234,215,0
104.24.225.191,207,238,216,0
104.25.61.228,212,228,217,0
104.20.38.175,210,228,217,0
104.20.230.246,211,236,218,0
104.25.59.87,206,233,218,0
104.24.243.42,207,242,219,0
172.67.32.214,204,252,219,0
104.23.134.247,210,234,219,0
104.26.7.212,204,245,220,0
104.20.227.251,214,236,220,0
104.20.71.153,211,239,220,0
104.23.142.95,213,229,221,0
104.20.177.144,210,231,221,0
104.26.8.14,211,242,221,0
104.25.132.235,208,235,221,0
104.24.196.237,212,235,221,0
104.25.135.110,209,234,221,0
104.22.67.144,211,238,221,0
104.25.37.81,208,236,221,0
104.25.67.45,213,232,221,0
104.25.162.225,215,226,221,0
172.67.120.51,213,242,222,0
104.20.90.208,210,237,222,0
104.24.176.210,211,239,222,0
172.67.70.212,210,238,222,0
104.25.255.120,214,239,222,0
172.67.123.76,213,236,222,0
104.24.169.16,209,237,222,0
104.23.137.195,213,232,222,0
172.67.30.203,214,247,222,0
104.24.217.95,201,247,222,0
104.25.223.183,210,243,223,0
104.20.232.41,212,244,223,0
104.24.171.216,209,246,223,0
104.27.31.187,211,243,223,0
104.25.192.26,211,245,223,0
104.24.82.1,211,243,223,0
104.25.94.49,212,238,223,0
104.27.69.136,207,243,223,0
104.24.42.37,212,245,223,0
172.67.127.112,213,245,223,0
104.20.44.242,213,232,223,0
104.20.145.87,209,240,223,0
104.24.184.143,213,231,223,0
104.26.6.8,212,235,223,0
104.24.21.136,211,239,223,0
172.67.61.141,213,237,223,0
104.24.198.66,214,245,223,0
104.25.130.47,212,246,223,0
104.25.95.239,213,249,223,0
104.20.15.104,207,243,224,0
104.24.46.15,212,234,224,0
104.25.179.155,215,239,224,0
104.27.100.32,217,244,224,0
104.22.25.250,214,237,224,0
104.24.33.77,213,254,224,0
104.27.64.6,211,248,224,0
104.20.153.214,215,238,224,0
104.22.8.234,212,240,224,0
104.24.207.87,206,238,224,0
104.25.71.15,214,234,224,0
104.24.139.248,213,241,224,0
104.20.69.167,214,239,224,0
172.67.31.14,212,233,224,0
172.67.43.83,214,232,224,0
104.20.194.15,214,244,224,0
104.24.173.47,214,249,225,0
104.24.197.156,206,243,225,0
104.20.158.234,216,240,225,0
104.27.79.113,211,247,225,0
104.26.5.2,216,235,225,0
104.22.65.76,209,248,225,0
104.24.6.139,218,248,225,0
172.67.41.251,214,237,225,0
104.23.131.19,214,239,225,0
104.24.44.114,214,248,225,0
104.25.239.136,214,244,225,0
104.25.156.90,217,238,225,0
104.23.104.195,211,243,225,0
104.27.60.168,214,246,225,0
104.23.138.77,221,234,225,0
172.67.121.64,211,240,225,0
104.27.117.162,221,243,226,0
104.20.222.228,216,241,226,0
104.20.76.38,214,233,226,0
104.25.111.194,214,238,226,0
172.67.86.59,218,237,226,0
104.27.63.184,215,243,226,0
104.20.22.33,215,246,226,0
172.67.62.208,213,250,226,0
104.25.30.103,210,241,226,0
104.24.224.96,213,239,226,0
162.159.34.22,217,243,226,0
104.20.170.36,218,239,226,0
104.27.25.47,217,250,226,0
104.24.9.222,213,243,226,0
172.67.4.133,212,245,226,0
104.20.228.231,212,247,226,0
104.22.62.252,216,238,226,0
104.20.24.159,212,247,226,0
172.67.96.136,211,251,226,0
104.24.200.77,216,238,226,0
104.24.18.41,216,242,226,0
104.20.174.205,216,237,226,0
104.25.81.12,211,249,226,0
172.67.25.138,217,239,226,0
104.24.56.167,214,232,226,0
104.25.189.169,219,247,226,0
172.67.26.9,211,238,226,0
172.67.8.69,210,253,226,0
172.67.118.158,213,272,226,0
104.27.55.219,210,244,227,0
104.24.5.87,216,241,227,0
172.67.10.235,216,247,227,0
104.24.20.167,216,245,227,0
104.24.175.80,211,244,227,0
104.20.111.193,210,252,227,0
104.27.126.217,211,241,227,0
104.20.113.151,214,250,227,0
104.20.187.129,214,239,227,0
104.24.50.147,222,234,227,0
172.67.5.125,219,243,227,0
104.25.157.212,214,243,227,0
104.27.43.41,218,245,227,0
104.24.246.135,215,249,227,0
172.67.52.28,216,246,227,0
104.20.128.71,218,251,227,0
104.20.138.176,211,247,227,0
104.20.37.190,221,240,227,0
