IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.66.41.43,145,179,156,0
104.19.126.50,144,168,156,0
162.159.152.66,149,170,156,0
162.159.140.189,147,170,156,0
198.41.195.71,145,171,157,0
104.19.33.254,145,167,157,0
104.19.100.101,146,168,157,0
104.18.206.242,145,168,157,0
104.19.63.203,147,167,157,0
104.19.56.195,148,165,157,0
190.93.246.207,146,168,157,0
104.19.79.121,147,181,158,0
104.19.176.65,145,192,159,0
104.19.101.254,148,178,159,0
104.18.228.192,144,175,159,0
104.19.115.76,143,188,160,0
172.66.1.68,146,178,160,0
104.19.118.57,145,193,160,0
104.19.91.101,153,170,160,0
104.18.208.7,151,175,160,0
162.159.12.199,144,174,161,0
104.19.96.17,153,172,161,0
104.19.82.184,149,176,161,0
172.66.40.105,146,177,161,0
104.19.62.3,147,177,161,0
104.19.127.144,146,185,161,0
104.19.180.135,150,176,162,0
198.41.220.52,146,186,162,0
104.19.95.85,147,183,162,0
172.64.33.28,155,176,162,0
162.159.141.173,151,173,162,0
104.19.161.114,145,177,162,0
172.64.144.49,150,171,163,0
104.19.206.219,147,187,163,0
172.64.69.116,157,171,163,0
104.19.94.160,155,171,163,0
104.19.57.225,146,175,163,0
104.19.159.236,154,175,163,0
104.19.167.190,152,188,164,0
172.64.89.173,152,178,164,0
104.19.87.57,152,175,164,0
162.159.27.35,156,173,164,0
104.19.90.198,156,174,164,0
104.19.106.79,151,178,164,0
172.64.148.17,155,174,164,0
162.159.5.165,155,186,164,0
104.19.80.59,155,179,164,0
198.41.201.124,155,188,164,0
172.66.42.92,147,187,164,0
162.159.36.211,145,234,165,0
104.19.125.78,156,183,165,0
104.19.97.186,154,178,165,0
172.64.145.192,153,177,165,0
104.19.64.23,154,181,166,0
104.19.98.31,151,189,166,0
104.19.165.152,147,207,166,0
104.18.237.187,157,177,166,0
104.19.169.107,146,205,166,0
104.19.114.102,147,205,166,0
104.19.192.42,154,206,166,0
172.64.157.35,152,183,166,0
104.19.109.58,152,192,167,0
104.19.65.192,151,182,167,0
162.159.17.167,151,197,167,0
162.159.22.69,157,178,167,0
198.41.194.254,151,203,167,0
104.19.124.196,155,186,167,0
198.41.193.117,154,194,167,0
104.19.197.85,152,174,167,0
162.159.46.41,153,214,167,0
162.159.14.64,156,179,167,0
104.19.170.212,156,175,167,0
104.19.157.25,156,181,167,0
172.66.3.8,152,187,168,0
162.159.33.231,151,196,168,0
162.159.9.231,153,185,168,0
104.31.16.55,154,178,168,0
104.19.156.196,156,185,168,0
104.19.144.244,155,180,168,0
172.64.95.213,160,181,168,0
104.19.2.49,154,186,168,0
198.41.217.57,156,181,168,0
104.18.212.194,156,177,168,0
162.159.136.9,154,185,168,0
104.19.61.159,152,188,169,0
104.19.166.109,155,186,169,0
104.18.255.19,152,185,169,0
104.19.225.21,156,186,169,0
104.19.177.101,145,206,169,0
104.19.219.4,155,196,169,0
104.19.153.46,157,175,169,0
172.64.90.123,157,204,169,0
172.64.34.198,160,184,169,0
104.19.239.255,156,181,169,0
162.159.135.220,158,187,169,0
104.19.154.162,159,181,169,0
172.66.47.88,155,184,169,0
104.19.58.103,156,187,170,0
172.64.93.250,155,189,170,0
162.159.3.27,153,194,170,0
198.41.209.41,153,189,170,0
104.19.205.43,156,182,170,0
162.159.58.162,160,191,170,0
104.19.202.120,156,187,170,0
104.19.88.91,158,196,170,0
104.19.163.226,155,187,170,0
198.41.196.222,153,183,170,0
104.19.89.62,161,183,170,0
104.19.17.125,162,181,170,0
104.19.55.38,156,188,170,0
104.19.160.122,157,189,170,0
104.19.75.181,159,191,170,0
104.19.120.86,156,183,171,0
162.159.10.178,158,186,171,0
104.18.216.14,153,188,171,0
104.19.178.31,154,212,171,0
172.64.86.245,157,186,171,0
172.65.225.192,156,198,171,0
172.64.231.11,154,209,171,0
172.64.38.65,155,197,171,0
162.159.62.74,155,206,171,0
104.19.196.202,153,201,171,0
104.19.74.192,154,208,171,0
162.159.134.246,155,186,172,0
104.19.218.62,161,188,172,0
172.64.151.22,156,188,172,0
104.19.215.223,156,208,172,0
162.159.2.93,151,206,172,0
162.159.16.73,161,209,172,0
104.19.181.26,159,190,172,0
172.64.52.84,152,194,172,0
104.19.183.14,161,209,172,0
104.19.198.117,157,200,172,0
162.159.137.248,154,188,173,0
162.159.8.143,153,224,173,0
104.19.27.154,163,188,173,0
162.159.41.40,162,192,173,0
162.159.133.99,163,186,173,0
198.41.218.143,156,189,173,0
162.159.4.102,164,196,173,0
104.19.151.245,160,198,173,0
104.18.240.250,156,207,174,0
172.64.159.58,159,209,174,0
104.19.174.180,154,187,174,0
162.251.82.122,160,203,174,0
104.19.53.58,155,195,174,0
162.159.1.184,165,187,174,0
198.41.192.143,163,188,174,0
104.19.184.224,163,190,174,0
172.64.39.81,161,186,174,0
104.19.8.47,167,182,174,0
172.64.35.246,154,202,174,0
104.18.233.163,163,188,174,0
104.19.68.12,154,216,174,0
198.41.204.187,155,192,175,0
162.159.21.129,164,187,175,0
104.19.41.227,159,185,175,0
172.66.0.142,165,196,175,0
104.19.232.172,164,198,175,0
104.19.155.119,165,187,175,0
172.64.146.192,163,183,175,0
104.19.103.48,161,182,175,0
172.64.155.58,154,225,175,0
104.18.219.147,167,182,175,0
162.159.129.253,162,189,175,0
162.159.153.161,165,190,175,0
104.19.54.151,155,203,175,0
104.19.189.60,156,216,176,0
104.19.81.40,164,190,176,0
104.18.252.227,169,184,176,0
104.19.233.231,163,191,176,0
162.159.207.219,160,192,176,0
190.93.247.76,164,190,176,0
104.19.67.104,164,186,176,0
172.64.156.14,154,204,176,0
172.64.81.139,164,191,176,0
104.19.213.110,166,184,176,0
172.64.92.89,157,204,176,0
104.19.224.68,156,206,177,0
104.19.201.176,158,201,177,0
104.19.110.83,163,187,177,0
104.19.66.231,159,204,177,0
172.66.46.101,164,213,177,0
104.18.239.211,156,205,177,0
104.19.158.223,168,188,177,0
172.64.84.134,157,222,177,0
104.19.237.147,153,200,177,0
162.159.130.74,164,187,177,0
104.19.31.226,163,186,177,0
104.18.246.243,169,186,177,0
104.18.249.56,164,186,177,0
172.64.68.26,162,190,177,0
172.64.82.133,153,205,177,0
198.41.215.71,164,193,177,0
104.18.215.209,163,196,178,0
104.19.194.199,162,201,178,0
104.19.78.14,164,217,178,0
104.19.147.14,163,195,178,0
104.19.164.64,163,197,178,0
104.19.203.5,164,196,178,0
104.19.83.232,163,203,178,0
104.19.200.253,163,195,178,0
104.19.208.227,168,191,178,0
104.18.205.38,172,184,178,0
104.19.211.64,160,216,178,0
104.18.214.82,165,198,178,0
104.19.222.7,162,226,178,0
162.159.11.78,162,197,179,0
162.159.13.192,167,195,179,0
104.19.70.49,159,219,179,0
104.19.85.205,162,203,179,0
104.19.187.190,165,220,179,0
172.64.42.229,159,213,179,0
198.41.214.187,161,189,179,0
104.18.218.255,163,214,180,0
104.19.172.90,168,212,180,0
104.19.119.35,156,232,180,0
104.18.235.137,163,206,180,0
162.159.239.255,162,208,180,0
172.64.158.203,166,192,180,0
172.66.44.208,167,196,180,0
198.41.206.217,171,191,180,0
104.19.92.41,165,201,180,0
172.64.153.47,162,209,180,0
104.19.146.4,167,193,181,0
104.18.234.143,170,188,181,0
104.19.230.105,170,196,181,0
104.19.10.193,164,187,181,0
172.64.88.107,165,201,181,0
104.19.113.121,161,207,181,0
104.19.36.33,163,195,181,0
162.159.138.34,163,202,181,0
172.64.50.213,158,204,181,0
162.159.40.160,163,229,181,0
172.66.45.76,164,192,181,0
172.64.41.239,166,196,181,0
198.41.208.117,169,197,182,0
104.18.236.224,173,192,182,0
172.64.91.88,163,222,182,0
104.19.40.151,144,374,182,0
172.64.147.215,169,200,183,0
172.64.83.248,167,203,183,0
