IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.16.191.6,196,240,221,0
104.16.192.81,197,242,223,0
104.18.154.134,202,251,226,0
104.16.90.227,203,241,226,0
104.18.250.240,201,242,227,0
104.16.93.20,199,243,227,0
104.17.107.166,200,241,227,0
104.16.91.167,206,248,228,0
104.19.187.96,204,242,229,0
104.17.201.20,203,247,222,10
104.18.253.113,196,231,223,10
104.17.69.68,196,243,223,10
104.17.93.97,201,243,224,10
104.17.159.90,201,236,224,10
104.19.146.13,195,244,226,10
104.17.139.133,200,239,226,10
104.17.173.137,205,238,226,10
104.18.85.210,204,236,226,10
104.19.248.221,201,246,226,10
104.17.140.76,207,241,228,10
104.18.245.13,206,248,229,10
104.17.138.108,211,242,230,10
104.17.202.74,207,246,230,10
104.19.141.248,199,251,230,10
104.22.23.18,200,241,230,10
104.19.62.45,204,246,231,10
104.16.94.233,224,242,231,10
104.19.204.77,205,251,232,10
104.22.5.197,200,278,233,10
104.19.4.251,205,252,236,10
104.22.28.42,227,257,237,10
104.21.81.132,199,294,259,10
104.17.171.11,199,238,224,20
104.19.156.185,200,240,226,20
104.16.113.149,206,236,226,20
104.17.158.240,203,241,227,20
104.17.127.0,206,242,229,20
104.18.40.221,221,237,230,20
104.19.145.165,192,244,230,20
104.17.124.34,205,238,231,20
104.18.46.247,214,238,231,20
104.17.0.34,206,243,231,20
104.17.112.4,211,245,231,20
104.19.223.252,207,245,232,20
104.16.92.246,224,249,234,20
104.19.3.171,209,260,238,20
104.19.195.23,230,251,239,20
104.20.80.195,223,268,240,20
104.20.182.119,230,283,246,20
104.16.190.78,195,230,217,30
104.17.153.1,196,239,220,30
104.16.163.2,201,252,222,30
104.16.241.59,199,236,225,30
104.19.220.226,199,238,227,30
104.16.240.41,199,240,227,30
104.16.224.56,209,245,231,30
104.16.89.190,226,244,231,30
104.17.14.87,206,240,232,30
104.20.140.169,221,240,233,30
104.18.138.255,226,246,237,30
104.16.162.15,200,238,219,40
104.18.146.7,203,240,221,40
104.16.182.88,202,237,222,40
104.17.109.254,204,246,222,40
104.17.9.16,201,235,223,40
104.18.151.99,193,236,223,40
104.19.219.137,198,236,224,40
104.18.86.255,203,248,225,40
104.17.86.232,200,244,226,40
104.18.232.125,195,248,226,40
104.19.218.209,215,239,230,40
104.18.244.74,206,246,231,40
104.17.11.175,224,234,231,40
104.17.206.217,212,245,231,40
104.19.61.41,205,244,232,40
104.20.195.95,204,266,233,40
104.17.193.252,224,242,233,40
104.20.108.169,231,270,251,40
104.21.212.178,200,281,259,40
104.17.10.95,192,239,225,50
104.17.150.246,195,245,229,50
104.17.81.73,222,239,230,50
104.17.195.117,205,240,231,50
104.19.66.154,207,244,232,50
104.16.88.19,228,240,233,50
104.18.52.170,199,249,234,50
104.17.7.34,200,240,218,60
104.17.152.214,200,232,221,60
104.17.8.182,206,239,222,60
104.17.65.145,208,241,222,60
104.17.6.228,196,242,223,60
104.18.231.220,203,238,227,60
104.17.64.13,207,242,228,60
104.17.5.23,204,246,229,60
104.16.73.211,215,238,229,60
104.17.84.177,204,247,229,60
104.17.42.121,224,237,230,60
104.20.5.90,201,267,235,60
104.16.84.19,229,247,235,60
104.17.151.133,223,245,235,60
104.20.151.37,241,283,255,60
104.20.200.20,190,276,235,70
104.17.181.134,194,201,197,80
104.19.191.53,206,208,207,80
104.18.161.53,208,211,209,80
104.16.236.43,197,223,210,80
104.18.211.167,203,218,210,80
104.18.210.219,200,222,211,80
104.16.187.69,201,227,214,80
104.16.170.233,203,228,216,80
104.17.77.39,204,231,217,80
104.19.241.67,206,228,217,80
104.17.80.38,207,229,218,80
104.19.25.220,199,240,219,80
104.17.217.41,202,237,220,80
104.16.20.74,209,231,220,80
104.18.165.50,207,234,220,80
104.16.21.215,206,235,221,80
104.22.13.21,208,234,221,80
104.17.194.48,208,235,221,80
104.18.212.126,208,236,222,80
104.16.18.8,217,229,223,80
104.18.164.34,206,241,223,80
104.18.156.159,209,238,224,80
104.17.145.230,211,236,224,80
104.16.124.26,209,244,226,80
104.18.157.74,211,242,226,80
104.16.243.27,214,239,226,80
104.18.158.162,211,242,226,80
104.18.216.72,216,238,227,80
104.16.246.126,214,241,227,80
104.16.245.206,223,233,228,80
104.16.160.78,226,230,228,80
104.19.102.244,224,234,229,80
104.16.78.184,227,231,229,80
104.17.15.183,225,233,229,80
104.18.162.48,227,231,229,80
104.19.159.242,229,233,231,80
104.16.67.74,229,234,232,80
104.16.22.55,231,233,232,80
104.16.80.42,224,240,232,80
104.16.87.250,232,233,232,80
104.19.27.74,225,240,232,80
104.16.72.82,223,242,232,80
104.19.65.200,230,235,232,80
104.18.152.44,228,237,232,80
104.17.129.185,225,240,232,80
104.18.167.72,231,234,233,80
104.16.65.193,232,234,233,80
104.17.13.139,232,234,233,80
104.17.85.129,232,235,233,80
104.16.188.91,230,238,234,80
104.19.33.217,229,240,234,80
104.17.41.227,234,235,234,80
104.16.159.129,230,243,236,80
104.16.76.188,233,242,237,80
104.17.187.39,238,239,238,80
104.19.243.167,238,239,238,80
104.16.169.117,239,239,239,80
104.17.216.170,238,239,239,80
104.18.128.142,239,239,239,80
104.20.245.197,236,242,239,80
104.18.209.160,239,240,239,80
104.20.184.26,233,250,242,80
104.18.230.237,238,246,242,80
104.17.212.93,238,246,242,80
104.19.240.90,238,246,242,80
104.18.160.130,238,247,242,80
104.19.216.54,238,246,242,80
104.18.208.181,239,246,243,80
104.19.222.188,241,245,243,80
104.18.141.233,240,246,243,80
104.19.105.40,239,250,244,80
104.19.21.180,230,262,246,80
104.18.61.169,245,251,248,80
104.21.222.122,265,281,273,80
104.17.146.108,199,199,199,90
104.16.74.180,201,201,201,90
104.19.140.121,203,203,203,90
104.16.81.158,207,207,207,90
104.19.217.6,212,212,212,90
104.16.71.37,222,222,222,90
104.18.199.111,225,225,225,90
104.16.181.209,225,225,225,90
104.21.84.28,226,226,226,90
104.19.34.192,227,227,227,90
104.16.29.44,227,227,227,90
104.16.64.122,228,228,228,90
104.16.238.164,229,229,229,90
104.19.207.73,229,229,229,90
104.19.30.72,229,229,229,90
104.16.79.115,230,230,230,90
104.16.204.175,230,230,230,90
104.17.134.245,231,231,231,90
104.16.82.125,231,231,231,90
104.16.201.189,232,232,232,90
104.20.74.218,233,233,233,90
104.18.62.67,233,233,233,90
104.17.128.125,233,233,233,90
104.19.134.11,233,233,233,90
104.16.68.27,234,234,234,90
104.19.85.5,234,234,234,90
104.17.105.228,234,234,234,90
104.19.64.189,235,235,235,90
104.17.130.194,235,235,235,90
104.17.40.243,238,238,238,90
104.16.199.44,239,239,239,90
104.19.36.213,240,240,240,90
104.17.102.251,240,240,240,90
104.16.70.183,241,241,241,90
104.16.75.23,242,242,242,90
104.22.27.91,242,242,242,90
104.17.218.147,243,243,243,90
104.24.176.131,244,244,244,90
104.17.60.198,250,250,250,90
104.20.13.163,250,250,250,90
104.17.137.172,254,254,254,90
104.19.73.169,255,255,255,90
104.21.197.111,270,270,270,90
104.21.61.171,280,280,280,90
